hour,resource,ram_gi,ram_gi_ai_unit_hours,cpu,cpu_ai_unit_hours,gpu,gpu_ai_unit_hours,ai_units
2024-10-24 16:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 16:00:00+00:00,steam,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 17:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 17:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 17:00:00+00:00,steam,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 18:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 18:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 18:00:00+00:00,steam,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 19:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 19:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 19:00:00+00:00,steam,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 20:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 20:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 20:00:00+00:00,steam,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 21:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 21:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 21:00:00+00:00,steam,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 22:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 22:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 22:00:00+00:00,steam,20.4890966415405273,0.32014213502407073906,12.0000000000000000,1.5000000000000000,0,0,1.5000000000000000
2024-10-24 23:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 23:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 23:00:00+00:00,steam,20.4890966415405273,0.32014213502407073906,12.0000000000000000,1.5000000000000000,0,0,1.5000000000000000
2024-10-25 00:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 00:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 00:00:00+00:00,steam,20.4890966415405273,0.32014213502407073906,12.0000000000000000,1.5000000000000000,0,0,1.5000000000000000
2024-10-25 01:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 01:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 01:00:00+00:00,steam,20.4890966415405273,0.32014213502407073906,12.0000000000000000,1.5000000000000000,0,0,1.5000000000000000
2024-10-25 02:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 02:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 02:00:00+00:00,steam,20.4890966415405273,0.32014213502407073906,12.0000000000000000,1.5000000000000000,0,0,1.5000000000000000
2024-10-25 03:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 03:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 03:00:00+00:00,steam,20.4890966415405273,0.32014213502407073906,12.0000000000000000,1.5000000000000000,0,0,1.5000000000000000
2024-10-25 04:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 04:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 04:00:00+00:00,steam,20.4890966415405273,0.32014213502407073906,12.0000000000000000,1.5000000000000000,0,0,1.5000000000000000
2024-10-25 05:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 05:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 05:00:00+00:00,steam,20.4890966415405273,0.32014213502407073906,12.0000000000000000,1.5000000000000000,0,0,1.5000000000000000
2024-10-25 06:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 06:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 06:00:00+00:00,steam,20.4890966415405273,0.32014213502407073906,12.0000000000000000,1.5000000000000000,0,0,1.5000000000000000
2024-10-25 07:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 07:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 07:00:00+00:00,steam,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 08:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 08:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 08:00:00+00:00,steam,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 09:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 09:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 09:00:00+00:00,steam,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 10:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 10:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 10:00:00+00:00,steam,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 11:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 11:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 11:00:00+00:00,steam,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 12:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 12:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 12:00:00+00:00,steam,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 13:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 13:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 13:00:00+00:00,steam,20.4890966415405273,0.32014213502407073906,12.0000000000000000,1.5000000000000000,0,0,1.5000000000000000
2024-10-25 14:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 14:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 14:00:00+00:00,steam,20.4890966415405273,0.32014213502407073906,12.0000000000000000,1.5000000000000000,0,0,1.5000000000000000
2024-10-25 15:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 15:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 15:00:00+00:00,steam,20.4890966415405273,0.32014213502407073906,12.0000000000000000,1.5000000000000000,0,0,1.5000000000000000
2024-10-25 16:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 16:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 16:00:00+00:00,steam,20.4890966415405273,0.32014213502407073906,12.0000000000000000,1.5000000000000000,0,0,1.5000000000000000
2024-10-25 17:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 17:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 17:00:00+00:00,steam,20.4890966415405273,0.32014213502407073906,12.0000000000000000,1.5000000000000000,0,0,1.5000000000000000
2024-10-25 18:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 18:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 18:00:00+00:00,steam,20.4890966415405273,0.32014213502407073906,12.0000000000000000,1.5000000000000000,0,0,1.5000000000000000
2024-10-25 19:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 19:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 19:00:00+00:00,steam,20.4890966415405273,0.32014213502407073906,12.0000000000000000,1.5000000000000000,0,0,1.5000000000000000
2024-10-25 20:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 20:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 20:00:00+00:00,steam,48.4287738800048828,0.75669959187507629375,18.0000000000000000,2.2500000000000000,0,0,2.2500000000000000
2024-10-25 21:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 21:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 21:00:00+00:00,steam,48.4287738800048828,0.75669959187507629375,18.0000000000000000,2.2500000000000000,0,0,2.2500000000000000
2024-10-25 22:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 22:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 22:00:00+00:00,steam,48.4287738800048828,0.75669959187507629375,18.0000000000000000,2.2500000000000000,0,0,2.2500000000000000
2024-10-25 23:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 23:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-25 23:00:00+00:00,steam,48.4287738800048828,0.75669959187507629375,18.0000000000000000,2.2500000000000000,0,0,2.2500000000000000
2024-10-26 00:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-26 00:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-26 00:00:00+00:00,steam,48.4287738800048828,0.75669959187507629375,18.0000000000000000,2.2500000000000000,0,0,2.2500000000000000
2024-10-26 01:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-26 01:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-26 01:00:00+00:00,steam,27.9396772384643555,0.43655745685100555469,6.0000000000000000,0.75000000000000000000,0,0,0.75000000000000000000
2024-10-26 02:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-26 02:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-26 02:00:00+00:00,steam,27.9396772384643555,0.43655745685100555469,6.0000000000000000,0.75000000000000000000,0,0,0.75000000000000000000
2024-10-26 03:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-26 03:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
